Order ID,Order Date,Country,City,State,Category,Product Name,Quantity,Profit
NM-2012-343889,26-04-2015,United States,Lambertfurt,Florida,Furnishings,Table Lamp,3,391.61
VA-2022-163003,26-04-2015,United States,West Jennifer,Nevada,Labels,Address Labels,3,579.75
KS-2015-985001,26-04-2015,United States,West Melvinborough,Florida,Labels,Address Labels,3,-118.06
WI-2014-993323,27-04-2015,United States,Jensenfurt,Florida,Storage,Vertical Stackable Tray,8,854.52
MO-2006-118786,27-04-2015,United States,West Adam,California,Accessories,Inkjet Printer Ink,6,167.34
ME-2011-347008,27-04-2015,United States,Davidbury,Florida,Furnishings,Table Lamp,8,857.76
WI-2017-869358,27-04-2015,United States,Danielsstad,Nevada,Copiers,Canon ImageRunner,3,46.35
ME-2010-166040,27-04-2015,United States,Stephenstad,Ohio,Copiers,HP LaserJet Pro,4,496.08
IA-2018-124785,27-04-2015,United States,Smithborough,California,Labels,Color Coding Labels,5,-95.11
TN-2010-555031,28-04-2015,United States,Debrachester,Washington,Labels,Shipping Labels,6,277.4
DC-2007-676070,28-04-2015,United States,Lake Jacqueline,Washington,Furnishings,Office Chair,7,254.06
AL-2023-415426,28-04-2015,United States,South Robertville,California,Copiers,Canon ImageRunner,5,50.87
KS-2001-255768,29-04-2015,United States,Tammymouth,Idaho,Accessories,Inkjet Printer Ink,9,-73.92
VT-2006-925612,29-04-2015,United States,West Jamesmouth,Florida,Furnishings,Standing Desk,8,276.76
CT-2013-872648,29-04-2015,United States,Diazside,Georgia,Storage,Steel Filing Cabinet,6,512.15
NC-2003-260265,29-04-2015,United States,Natashaport,New York,Furnishings,Table Lamp,7,-123.77
NE-2020-945667,29-04-2015,United States,Rebeccastad,Florida,Copiers,Xerox 3000,2,837.27
IN-2000-169778,29-04-2015,United States,West Timothyside,Illinois,Furnishings,Standing Desk,9,48.56
NJ-2025-907346,29-04-2015,United States,Lake Alexis,New York,Copiers,Xerox 3000,4,-149.39
MI-2005-958914,29-04-2015,United States,North Jennifer,Ohio,Storage,Steel Filing Cabinet,2,206.8
OK-2021-288413,29-04-2015,United States,Diamondside,New York,Labels,Shipping Labels,7,750.65
ME-2001-202100,30-04-2015,United States,Wadefort,Texas,Storage,Mobile Pedestal,10,922.97
CO-2001-282148,30-04-2015,United States,Port Cindyshire,New York,Labels,Address Labels,10,652.42
WI-2020-856041,30-04-2015,United States,Ericmouth,New York,Labels,Shipping Labels,3,-57.84
NJ-2020-161585,30-04-2015,United States,Jennifermouth,California,Storage,Vertical Stackable Tray,1,-18.76
AZ-2005-581554,30-04-2015,United States,Carolineland,Ohio,Copiers,Canon ImageRunner,8,-123.63
NC-2008-105296,30-04-2015,United States,West Brett,Florida,Storage,Mobile Pedestal,5,290.22
MT-2012-130396,30-04-2015,United States,New Aliciaview,Idaho,Copiers,Canon ImageRunner,5,959.44
LA-2005-789100,01-05-2015,United States,Walterport,Illinois,Storage,Steel Filing Cabinet,4,115.41
RI-2015-603530,01-05-2015,United States,East Dylan,California,Copiers,HP LaserJet Pro,4,8.38
WY-2006-638252,01-05-2015,United States,Haleyshire,Georgia,Furnishings,Office Chair,10,707.46
LA-2025-534744,01-05-2015,United States,Mariabury,California,Copiers,HP LaserJet Pro,5,-113.33
ND-2001-901164,01-05-2015,United States,Downsborough,Georgia,Storage,Vertical Stackable Tray,2,267.58
